Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,DS
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,2025-10-17
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2025-10-17
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,2025-10-17
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,2025-10-17
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,2025-10-17
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,2025-10-17
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,2025-10-17
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2025-10-17
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,2025-10-17
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,2025-10-17
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2025-10-17
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,2025-10-17
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,2025-10-17
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,2025-10-17
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,2025-10-17
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2025-10-17
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,2025-10-17
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,2025-10-17
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,2025-10-17
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,2025-10-17
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,2025-10-17
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,2025-10-17
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,2025-10-17
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,2025-10-17
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,2025-10-17
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,2025-10-17
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,2025-10-17
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,2025-10-17
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,2025-10-17
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,2025-10-17
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,2025-10-17
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,2025-10-17
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,2025-10-17
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,2025-10-17
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,2025-10-17
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,2025-10-17
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,2025-10-17
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,2025-10-17
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,2025-10-17
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,2025-10-17
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2025-10-17
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2025-10-17
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,2025-10-17
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2025-10-17
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,2025-10-17
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,2025-10-17
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,2025-10-17
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,2025-10-17
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,2025-10-17
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,2025-10-17
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,2025-10-17
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,2025-10-17
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,2025-10-17
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,2025-10-17
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,2025-10-17
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,2025-10-17
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,2025-10-17
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,2025-10-17
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,2025-10-17
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,2025-10-17
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,2025-10-17
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,2025-10-17
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,2025-10-17
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,2025-10-17
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,2025-10-17
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,2025-10-17
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,2025-10-17
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,2025-10-17
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,2025-10-17
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2025-10-17
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,2025-10-17
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,2025-10-17
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,2025-10-17
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,2025-10-17
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,2025-10-17
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,2025-10-17
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,2025-10-17
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,2025-10-17
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,2025-10-17
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,2025-10-17
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,2025-10-17
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,2025-10-17
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,2025-10-17
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,2025-10-17
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2025-10-17
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,2025-10-17
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,2025-10-17
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,2025-10-17
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,2025-10-17
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,2025-10-17
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,2025-10-17
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,2025-10-17
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,2025-10-17
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,2025-10-17
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,2025-10-17
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,2025-10-17
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,2025-10-17
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,2025-10-17
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,2025-10-17
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,2025-10-17
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,2025-10-17
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,2025-10-17
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,2025-10-17
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,2025-10-17
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,2025-10-17
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,2025-10-17
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2025-10-17
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,2025-10-17
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,2025-10-17
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,2025-10-17
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,2025-10-17
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,2025-10-17
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,2025-10-17
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,2025-10-17
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,2025-10-17
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,2025-10-17
